Feed_Flow_kg_h,Feed_Heavy_Fraction,Column_Pressure_kPa,Reflux_Ratio,Num_Stages,Murphree_Efficiency,Effective_Stages,Relative_Volatility,Separation_Power,Distillate_Rate_kg_h,Bottoms_Rate_kg_h,Reflux_Flow_kg_h,Distillate_Heavy_Fraction,Bottoms_Heavy_Fraction,Top_Tray_Temperature_C,Bottom_Temperature_C,Distillate_to_Feed,Reflux_to_Feed,Heavy_Recovery_to_Bottoms,Dataset,Mass_Balance_Error_kg_h,Heavy_Component_Balance_Error_kg_h
10518.376,0.41108,191.169,1.6625,25,0.8943,22.357,1.92855,9.16842,4459.941,6058.436,7414.859,0.039776,0.684412,82.59,103.129,0.42401,0.70494,0.958973,A,-0.001,0.029093
11232.427,0.581,157.353,1.2197,19,0.7799,14.817,1.9857,5.58514,2926.95,8305.477,3570.02,0.327375,0.670384,85.118,101.411,0.26058,0.31783,0.853172,A,0.0,-0.029062
10495.656,0.58731,182.797,2.313,25,0.8769,21.922,1.94155,10.1545,3290.013,7205.642,7609.68,0.054397,0.830634,82.49,103.718,0.31346,0.72503,0.970967,A,0.001,-0.014349
8045.264,0.60974,161.76,3.868,21,0.7874,16.536,1.97748,8.95881,2551.86,5493.404,9870.631,0.078671,0.856438,82.014,102.868,0.31719,1.22689,0.959075,A,-0.0,0.001958
11358.034,0.66842,187.128,3.8963,18,0.7379,13.282,1.93474,6.97575,2931.211,8426.823,11420.927,0.23459,0.81932,85.022,103.84,0.25807,1.00554,0.909425,A,0.0,0.039677
10669.562,0.37273,144.988,1.5684,21,0.8108,17.027,2.01022,7.2598,4899.741,5769.821,7684.513,0.065237,0.633856,81.131,100.493,0.45923,0.72023,0.919624,A,0.0,-0.014219
9194.57,0.5833,157.532,1.5369,16,0.7373,11.797,1.98536,4.90126,3007.871,6186.699,4622.794,0.312993,0.714718,84.936,101.713,0.32714,0.50277,0.824462,A,0.0,0.004977
10871.677,0.55828,154.033,1.7284,18,0.7229,13.012,1.99206,5.68072,3347.011,7524.666,5784.999,0.25481,0.693267,84.023,101.385,0.30787,0.53212,0.859484,A,0.0,-0.014661
10546.859,0.40505,167.999,1.2574,17,0.6844,11.635,1.96629,4.3822,4625.959,5920.9,5816.9,0.202483,0.563312,83.894,101.248,0.43861,0.55153,0.78074,A,0.0,0.013161
10441.199,0.69012,215.22,1.8339,24,0.7698,18.474,1.89457,7.63928,2978.172,7463.027,5461.802,0.169139,0.898026,85.08,105.541,0.28523,0.5231,0.930094,A,0.0,-0.037065
10042.633,0.49078,175.658,2.3391,23,0.7948,18.28,1.95318,8.57296,3787.112,6255.521,8858.424,0.064844,0.74865,82.368,102.843,0.3771,0.88208,0.950176,A,0.0,-0.043863
10820.069,0.67953,163.132,2.0014,25,0.7301,18.251,1.97498,8.28259,2449.61,8370.459,4902.537,0.169402,0.82882,83.267,102.756,0.2264,0.4531,0.943561,A,-0.0,-0.011174
8895.319,0.68871,153.15,1.1547,25,0.8479,21.198,1.99378,7.83856,2440.522,6454.797,2818.066,0.156168,0.89006,82.684,102.636,0.27436,0.3168,0.937787,A,0.0,0.007091
9755.635,0.66002,217.233,3.7883,22,0.7915,17.413,1.89193,8.78391,2561.347,7194.288,9703.081,0.115337,0.85394,84.431,105.329,0.26255,0.99461,0.95412,A,0.0,0.005839
9276.821,0.48379,212.804,1.8938,16,0.7588,12.141,1.89778,5.09059,3403.727,5873.094,6445.975,0.217167,0.638317,85.639,103.731,0.36691,0.69485,0.835302,A,0.0,-0.039693
10898.269,0.41191,170.297,2.4589,24,0.8558,20.54,1.96229,9.84333,4977.84,5920.429,12240.221,0.029543,0.733402,81.7,102.484,0.45676,1.12313,0.967241,A,0.0,-0.008813
10059.583,0.5343,146.906,2.8117,16,0.7522,12.036,2.00626,6.18171,3381.429,6678.154,9507.495,0.182981,0.712195,82.77,101.119,0.33614,0.94512,0.884884,A,0.0,-0.049951
9561.315,0.47981,131.059,2.648,25,0.7798,19.494,2.04091,10.09495,3382.51,6178.805,8957.016,0.039096,0.72108,80.14,100.241,0.35377,0.9368,0.971174,A,0.0,-0.04077
8827.137,0.48728,190.032,2.1239,17,0.7805,13.269,1.93028,5.9332,3724.976,5102.162,7911.469,0.139654,0.741075,83.87,103.453,0.42199,0.89627,0.879058,A,-0.001,-0.005185
9614.212,0.39763,198.135,1.1539,19,0.6514,12.377,1.91822,4.31917,4475.703,5138.508,5164.415,0.186188,0.581803,84.758,102.753,0.46553,0.53716,0.782019,A,0.001,-0.022443
10012.213,0.6369,151.947,2.8014,27,0.6879,18.573,1.99614,9.46086,2998.292,7013.921,8399.384,0.07759,0.875994,81.596,102.478,0.29946,0.83891,0.963518,A,0.0,-0.011729
9586.596,0.59229,169.676,3.8994,24,0.7073,16.976,1.96336,9.11556,2699.525,6887.071,10526.421,0.085487,0.790941,82.414,102.833,0.28159,1.09804,0.959357,A,0.0,0.003827
11941.096,0.64612,178.02,2.8917,17,0.7255,12.333,1.94928,6.11679,3307.327,8633.769,9563.777,0.290197,0.782468,85.429,103.178,0.27697,0.80091,0.875603,A,-0.0,-0.043388
11510.086,0.51262,183.172,2.2274,18,0.7237,13.027,1.94095,5.96222,4001.316,7508.77,8912.684,0.191264,0.683859,84.31,102.766,0.34764,0.77434,0.870292,A,0.0,0.052638
7000.0,0.33707,148.945,2.4717,23,0.7114,16.363,2.00212,8.08712,3230.493,3769.507,7984.926,0.039203,0.592336,80.96,100.441,0.4615,1.1407,0.946325,A,0.0,0.030285
7166.48,0.64492,159.089,3.0298,21,0.7981,16.76,1.98243,8.6233,1992.296,5174.184,6036.318,0.103779,0.853289,82.238,102.709,0.278,0.8423,0.955265,A,-0.0,-0.026496
9737.842,0.3277,156.515,2.9439,21,0.8639,18.142,1.98729,9.30005,4980.634,4757.208,14662.54,0.024524,0.645116,81.086,101.2,0.51147,1.50573,0.961723,A,0.0,-0.005241
9366.714,0.36181,141.727,2.4076,22,0.7905,17.391,2.01709,8.6214,4019.158,5347.557,9676.645,0.040469,0.60332,80.658,100.105,0.42909,1.03309,0.952006,A,-0.001,0.031398
10320.464,0.67765,177.749,1.5635,26,0.7682,19.974,1.94972,8.13415,2745.042,7575.423,4291.94,0.149243,0.869122,83.559,103.737,0.26598,0.41587,0.941421,A,-0.001,0.017338
10325.983,0.5246,157.87,2.1333,22,0.7325,16.115,1.98472,7.5208,3210.024,7115.959,6848.069,0.122545,0.705971,82.436,101.673,0.31087,0.66319,0.927382,A,0.0,-0.0224
13000.0,0.57,199.549,1.6265,16,0.7636,12.218,1.91618,4.9204,3636.361,9363.639,5914.667,0.396882,0.637229,87.586,103.179,0.27972,0.45497,0.805235,A,0.0,0.011457
8331.969,0.6284,178.288,1.3684,17,0.8265,14.051,1.94884,5.4166,2130.116,6201.853,2914.775,0.350706,0.723774,86.238,102.803,0.25566,0.34983,0.857319,A,-0.0,0.024904
9433.592,0.56582,161.621,3.9505,26,0.8231,21.402,1.97774,11.64681,3951.276,5482.316,15609.336,0.022533,0.957389,81.268,103.527,0.41885,1.65465,0.98332,A,0.0,-0.02811
13000.0,0.47759,166.768,1.0303,22,0.7711,16.965,1.96846,5.8303,5169.592,7830.408,5326.108,0.170116,0.68058,83.419,101.961,0.39766,0.4097,0.858354,A,0.0,0.020611
10970.054,0.5172,160.902,3.4846,26,0.827,21.503,1.97906,11.40546,3807.797,7162.257,13268.507,0.028313,0.777115,81.315,102.3,0.34711,1.20952,0.980998,A,0.0,0.004424
