Feed_Flow_kg_h,Feed_Heavy_Fraction,Column_Pressure_kPa,Reflux_Ratio,Num_Stages,Murphree_Efficiency,Effective_Stages,Relative_Volatility,Separation_Power,Distillate_Rate_kg_h,Bottoms_Rate_kg_h,Reflux_Flow_kg_h,Distillate_Heavy_Fraction,Bottoms_Heavy_Fraction,Top_Tray_Temperature_C,Bottom_Temperature_C,Distillate_to_Feed,Reflux_to_Feed,Heavy_Recovery_to_Bottoms,Dataset,Mass_Balance_Error_kg_h,Heavy_Component_Balance_Error_kg_h
8569.673,0.77135,179.019,2.1363,22,0.8708,19.158,1.94764,8.69881,1365.05,7204.623,2916.091,0.220685,0.875681,84.548,103.84,0.15929,0.34028,0.954427,B,0.0,0.019736
8790.947,0.30979,142.242,3.6688,16,0.6885,11.016,2.01599,6.06919,4667.299,4123.648,17123.529,0.067214,0.584348,81.034,100.009,0.53092,1.94786,0.884809,B,0.0,-0.005825
11885.354,0.24204,203.456,1.6629,23,0.6078,13.98,1.91062,5.65216,6702.792,5182.562,11146.099,0.062719,0.473971,83.303,102.266,0.56395,0.9378,0.853867,B,0.0,-0.045423
7551.496,0.42372,193.765,1.6829,14,0.8831,12.363,1.92465,5.07767,3745.622,3805.874,6303.615,0.133855,0.709001,83.921,103.405,0.49601,0.83475,0.843309,B,0.0,-0.01882
10600.603,0.57517,189.71,4.5242,24,0.7761,18.627,1.93077,10.0364,3250.312,7350.291,14705.154,0.056936,0.804327,82.767,103.856,0.30662,1.3872,0.969648,B,0.0,0.051554
11371.363,0.57558,171.903,3.2296,16,0.7163,11.46,1.95953,5.88661,3492.623,7878.74,11279.925,0.248597,0.720535,84.652,102.477,0.30714,0.99196,0.867344,B,0.0,-0.03441
8127.406,0.78165,161.835,2.1807,25,0.8327,20.818,1.97735,9.73067,1298.512,6828.894,2831.696,0.15322,0.901145,83.001,103.167,0.15977,0.34841,0.968682,B,0.0,0.005208
7330.88,0.36093,144.19,1.7282,22,0.703,15.466,2.01189,6.84908,3551.367,3779.513,6137.527,0.062352,0.641477,81.057,100.498,0.48444,0.83722,0.91631,B,0.0,0.029023
8649.816,0.6254,166.324,4.5643,26,0.7384,19.199,1.96925,10.67208,2198.803,6451.013,10035.992,0.056342,0.819361,81.9,102.854,0.2542,1.16025,0.977099,B,0.0,0.001505
10944.598,0.3977,168.673,3.5003,27,0.8092,21.848,1.96511,11.47959,4397.915,6546.683,15393.877,0.018311,0.65257,81.489,101.87,0.40183,1.40653,0.981499,B,0.0,-0.032522
