Feed_Flow_kg_h,Feed_Heavy_Fraction,Column_Pressure_kPa,Reflux_Ratio,Num_Stages,Murphree_Efficiency,Effective_Stages,Relative_Volatility,Separation_Power,Distillate_Rate_kg_h,Bottoms_Rate_kg_h,Reflux_Flow_kg_h,Distillate_Heavy_Fraction,Bottoms_Heavy_Fraction,Top_Tray_Temperature_C,Bottom_Temperature_C,Distillate_to_Feed,Reflux_to_Feed,Heavy_Recovery_to_Bottoms,Dataset,Mass_Balance_Error_kg_h,Heavy_Component_Balance_Error_kg_h
12905.604,0.30338,146.133,1.1514,25,0.8131,20.328,2.00785,7.58325,6982.928,5922.676,8039.808,0.042889,0.610505,80.886,100.404,0.54108,0.62297,0.923507,C,0.0,-0.011969
7348.198,0.55646,148.743,2.8428,24,0.6946,16.671,2.00253,8.56378,2185.909,5162.289,6214.002,0.085953,0.755688,81.569,101.508,0.29748,0.84565,0.954051,C,0.0,0.012973
10521.921,0.518,136.29,2.4666,21,0.8467,17.781,2.02896,8.95137,3636.737,6885.185,8970.456,0.066347,0.756557,80.749,100.795,0.34563,0.85255,0.95573,C,-0.001,0.03358
9663.491,0.42189,160.386,2.2211,25,0.6774,16.936,1.98002,7.9775,4574.707,5088.784,10160.763,0.05407,0.752552,81.634,102.111,0.4734,1.05146,0.939328,C,0.0,0.001234
9794.163,0.63288,178.892,2.9507,22,0.7333,16.134,1.94785,8.03398,2823.356,6970.807,8330.928,0.131112,0.836111,83.361,103.573,0.28827,0.8506,0.94028,C,0.0,-0.014384
9629.703,0.30516,150.214,2.7242,24,0.7802,18.724,1.99957,9.4908,4999.463,4630.24,13619.616,0.020977,0.612007,80.774,100.641,0.51917,1.41433,0.964312,C,0.0,-0.01286
7000.0,0.51396,200.893,1.4669,26,0.6861,17.837,1.91425,6.88719,2715.969,4284.031,3984.026,0.10821,0.77119,83.82,104.12,0.388,0.56915,0.91831,C,0.0,0.023128
10222.308,0.56762,182.207,1.5789,26,0.8788,22.848,1.94249,9.28803,3240.041,6982.266,5115.702,0.069844,0.7986,82.673,103.479,0.31696,0.50044,0.960999,C,0.001,0.051416
8519.549,0.59598,148.48,1.931,16,0.6858,10.972,2.00306,5.02167,2914.719,5604.831,5628.243,0.287084,0.756612,84.212,101.5,0.34212,0.66063,0.835199,C,-0.001,0.029231
12897.547,0.54259,147.352,2.9205,21,0.7849,16.483,2.00535,8.54375,4879.413,8018.133,14250.246,0.078367,0.825092,81.408,101.889,0.37832,1.10488,0.945358,C,0.001,-0.002325
10757.588,0.58064,157.375,1.9712,22,0.8552,18.814,1.98565,8.56192,3703.644,7053.944,7300.5,0.086162,0.840261,81.935,102.533,0.34428,0.67864,0.948912,C,0.0,0.018483
9470.524,0.62472,160.977,2.2049,20,0.8268,16.536,1.97892,7.76503,2434.489,7036.036,5367.747,0.157902,0.786236,83.029,102.364,0.25706,0.56678,0.935026,C,-0.001,0.030271
